"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","GNI per capita, Atlas method (current US$)",Human Development Index,Number of infant deaths,Capital health expenditure (% of GDP),Prevalence of undernourishment (% of population),Prevalence of overweight (% of adults),"Population, male","Population, female","Unemployment, male (% of male labor force)","Unemployment, female (% of female labor force)","People using at least basic drinking water services, rural (% of rural population)","People using at least basic drinking water services, urban (% of urban population)","People using at least basic sanitation services, rural (% of rural population)","People using at least basic sanitation services, urban  (% of urban population)",Development Index,split
67.538,63.192,,,114.8849106,114.7442703,1020,0.643,10905,0.50050497,26.8,49.2,4647523,4584778,2.11500001,3.102999926,61.27671627,96.31821847,19.73548018,52.04992026,3,train
68.137,63.68,,,113.3420868,113.2195435,1110,0.649,10318,0.55146682,24.6,49.9,4729693,4665756,2.085000038,3.207999945,62.51743641,96.50536226,20.87901401,52.91213855,3,train
68.736,64.168,85.98593903,96.03626251,112.3739929,112.4029388,1220,0.649,9758,0.57667035,23.9,50.5,4811456,4746982,2.101999998,3.371000051,63.75940683,96.69251362,22.3267909,54.36738983,3,train
69.334,64.656,86.83174896,94.95542908,110.7398911,111.2663879,1480,0.658,9226,0.49854699,24.7,51.2,4892972,4828485,2.000999928,3.385999918,65.00262753,96.87967255,23.80616379,55.84165849,3,test
69.93,65.142,86.82145691,95.80364227,106.6110001,107.7117767,1620,0.663,8722,0.61395139,22.9,51.8,4974475,4910315,2.467999935,3.621999979,66.2470985,97.06683906,25.31713268,57.33494455,3,train
70.518,65.619,,,104.217308,104.8114395,1780,0.667,8249,0.43285498,20.3,52.4,5056110,4992487,2.200999975,3.157000065,67.49281976,97.25401313,26.85969757,58.84724799,3,train
71.091,66.078,88.0802002,96.60105133,100.2862701,101.0713272,2000,0.671,7804,0.47406825,17.2,53.1,5137926,5075025,1.922000051,2.683000088,68.73979129,97.44119478,28.43385846,60.37856882,3,test
71.643,66.509,91.87326813,97.10704803,97.59755707,98.93804932,2250,0.675,7379,0.52506632,16.5,53.7,5219814,5157863,1.514000058,2.835000038,69.9880131,97.628384,30.03961535,61.92890703,3,train
72.166,66.907,,,95.94831848,98.0369873,2590,0.684,6973,0.68399805,16.4,54.3,5301540,5240835,2.002000093,3.032999992,71.23748519,97.81558079,31.67696825,63.49826263,3,train
72.655,67.271,,,94.75959015,96.99893951,2830,0.69,6602,0.79155195,15.5,54.9,5382819,5323698,1.373000026,2.878000021,72.48820756,98.00278515,33.34591715,65.08663562,3,train
