CountryKey,Name,Region,Continent,Currency,Capital,"Population, Total","GNI per capita, Atlas method (current US$)",Primary Language,Completeness of birth registration (%),Completeness of death registration with cause-of-death information (%),Urban population,Rural population
5001,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,9232301,1020,Spanish,,,5924368,3307933
5002,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,9395449,1110,Spanish,,,6072091,3323358
5003,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,9558438,1220,Spanish,,,6220823,3337615
5004,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,9721457,1480,Spanish,75.9,,6370957,3350500
5005,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,9884790,1620,Spanish,,,6522380,3362410
5006,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,10048597,1780,Spanish,,,6675283,3373314
5007,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,10212951,2000,Spanish,,,6829809,3383142
5008,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,10377677,2250,Spanish,,,6985733,3391944
5009,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,10542375,2590,Spanish,,,7137082,3405293
5010,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,10706517,2830,Spanish,,,7285464,3421053
5011,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,10869732,2960,Spanish,,,7434136,3435596
5012,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,11031822,3040,Spanish,91.9,,7583054,3448768
5013,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,11192853,3090,Spanish,,,7732023,3460830
5014,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,11353140,3370,Spanish,,,7881917,3471223
5015,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,11513102,3520,Spanish,,,8033037,3480065
5016,Bolivia,Latin America & Caribbean,South America,Bolivian boliviano,Sucre,11673029,3180,Spanish,,,8185478,3487551
5017,Brazil,Latin America & Caribbean,South America,Brazilian real,Brasilia ,186127108,4000,Portuguese ,89,,154176529,31950579
5018,Brazil,Latin America & Caribbean,South America,Brazilian real,Brasilia ,188167353,4850,Portuguese ,,,156447982,31719371
5019,Brazil,Latin America & Caribbean,South America,Brazilian real,Brasilia ,190130445,6190,Portuguese ,,,158660054,31470391
5020,Brazil,Latin America & Caribbean,South America,Brazilian real,Brasilia ,192030362,7620,Portuguese ,91,,160823508,31206854
5021,Brazil,Latin America & Caribbean,South America,Brazilian real,Brasilia ,193886505,8320,Portuguese ,,93,162949974,30936531
5022,Brazil,Latin America & Caribbean,South America,Brazilian real,Brasilia ,195713637,9650,Portuguese ,,,165055096,30658541
5023,Brazil,Latin America & Caribbean,South America,Brazilian real,Brasilia ,197514541,11080,Portuguese ,92.8,93,167158531,30356010
