EducationKey,"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)","Primary completion rate, female (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Public spending on education, total (% of GDP)",Ratio of young literate females to males (% ages 15-24),"School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)","School enrollment, tertiary (% gross)"
3001,,,,,,,,114.8849106,114.7442703,84.94075775,89.01383972,
3002,,,,,,,,113.3420868,113.2195435,84.59641266,87.67733002,
3003,85.98593903,96.03626251,99.44136047,,,,0.993889987,112.3739929,112.4029388,84.54309845,86.68417358,
3004,86.83174896,94.95542908,99.12249756,,,,0.994859993,110.7398911,111.2663879,84.33059692,85.66777802,
3005,86.82145691,95.80364227,99.38397217,,,,0.993889987,106.6110001,107.7117767,83.2924118,83.62458038,
3006,,,,97.55014038,96.97332764,,,104.217308,104.8114395,88.52033997,88.89040375,
3007,88.0802002,96.60105133,99.00752258,97.19909668,96.57731628,,0.995220006,100.2862701,101.0713272,86.22297668,85.90397644,
3008,91.87326813,97.10704803,98.99588013,97.91980743,96.9919281,,0.996630013,97.59755707,98.93804932,87.99286652,88.2647171,
3009,,,,94.89639282,94.01808929,,,95.94831848,98.0369873,89.65641022,90.13008881,
3010,,,,90.85175323,90.57785034,,,94.75959015,96.99893951,89.99389648,90.75730896,
3011,88.58286285,96.52275085,99.39916992,88.31674194,89.34018707,,1.000100017,94.90350342,96.87174225,90.67494202,92.02633667,
3012,,,,89.59416199,90.21766663,,,95.74906158,97.32765961,90.51051331,92.30622864,
3013,,,,91.03054047,92.16622925,,,96.87380981,98.15357208,89.31302643,91.24099731,
3014,,,,94.22058868,95.43340302,,,97.64904022,98.6317215,88.75827026,90.65175629,
3015,,,,91.63172913,91.57771301,,,98.23860168,98.80462646,89.15235138,90.77581024,
3016,,,,,,,,,,,,
3017,,,,,,4.4790802,,129.164566,137.2152252,106.2145386,96.51869965,25.98962975
3018,89.85559082,89.35324097,97.58229828,,,4.870600224,1.015910029,,,,,
3019,90.22801208,89.7721405,97.80062866,,,4.974259853,1.015249968,124.8782883,131.2835999,100.83815,89.76165009,30.78668976
3020,90.21955109,89.83786774,97.84362793,,,5.268839836,1.013710022,127.313118,136.5995331,102.6016083,91.12729645,35.56209946
3021,90.41121674,90.17484283,98.0655365,,,5.463550091,1.012629986,128.1880341,133.9461365,102.1236267,91.45065308,37.03839874
3022,90.68170166,90.05618286,97.51412201,,,5.648799896,1.016299963,,,,,
3023,91.63314819,91.16898346,98.48692322,,,5.737410069,1.011739969,102.8715515,110.9731598,99.85424042,90.85148621,43.45983124
3024,91.62490082,91.02567291,98.61965942,,,5.855100155,1.00801003,106.1904678,111.304451,97.46163177,89.53225708,45.17753983
3025,91.76496124,91.17796326,98.73667908,,,5.838850021,1.009850025,112.0406113,116.8506393,106.3849411,98.98101807,47.05736923
3026,92.06051636,91.36676788,98.84568787,,,5.948480129,1.008090019,112.3075104,117.3061905,105.7373962,97.30409241,50.17644882
3027,92.34378815,91.72515869,98.96375275,,,6.24105978,1.007560015,110.9740067,115.6682587,103.4027176,97.93479919,51.32004166
3028,93.02120209,92.57515717,99.11096191,,,6.314040184,1.006800056,112.9834213,115.9730988,104.5020065,99.7387619,50.73448944
3029,93.24371338,92.8915329,99.15541077,,,6.32047987,1.00643003,113.9252396,117.9199219,102.9063187,99.78598022,51.57070923
3030,93.42507172,93.00904083,99.20417023,,,6.088510036,1.004510045,112.9145279,115.9605103,106.6633224,103.4190063,53.25735092
3031,,,,,,,,109.3679276,114.4892273,106.7609863,101.3035965,55.13629913
3032,,,,,,,,,,,,
3033,,,,,,4.765880108,,96.93871307,97.77118683,100.2343826,102.4870605,
3034,,,,,,,,98.50982666,99.23444366,100.6695023,102.7323608,
3035,,,,,,4.766409874,,98.72110748,99.20018768,100.7483673,103.0018997,63.60005951
3036,,,,,,4.62612009,,97.92086029,98.10118103,101.104248,103.5259323,63.76739883
3037,,,,,,4.840579987,,99.08512878,98.93639374,101.5036087,103.9080811,63.0657692
3038,,,,,,5.356369972,,98.90505981,98.39224243,101.1566925,103.5829773,61.65584946
3039,,,,,,5.262050152,,98.54882813,97.84992981,102.2668762,104.3807678,63.46731949
3040,,,,,,,,100.0669785,99.0009079,109.8560715,110.1125031,63.98077011
3041,,,,,,,,100.9137268,99.80014801,109.6153183,109.363327,65.33229828
3042,,,,,,,,102.1586838,100.9486923,109.6512222,109.0323029,65.61290741
3043,,,,,,,,102.907959,102.0841522,110.8576202,109.8839493,64.78695679
3044,,,,,,,,101.0684662,100.9814529,113.3864594,111.6930923,66.43917847
3045,,,,,,,,100.8191376,101.062439,114.5206375,113.0466766,68.92250824
3046,,,,,,,,101.2753983,101.7166214,114.7476807,113.5315323,70.11302185
3047,,,,,,,,100.6940231,101.2723236,114.8205338,113.869751,75.69882202
3048,,,,,,,,,,,,
3049,92.91124725,92.77794647,97.95839691,106.2967072,102.1376419,4.020989895,1.00872004,120.4071808,122.5994873,87.22846222,78.66983032,30.69215965
3050,92.22059631,92.39279938,97.88317108,112.6996765,108.5495605,3.916719913,1.00672996,121.6014404,123.2248001,91.13822937,81.62586975,32.69947815
3051,92.8456192,92.42970276,97.96862793,115.1482468,110.4139633,4.083010197,1.00951004,122.7143021,123.5725632,94.11921692,84.49651337,33.74993896
3052,93.4353714,93.31687927,97.98927307,114.8281326,111.2886963,3.938780069,1.008939981,123.3756485,123.9046478,95.3237915,86.426651,36.07695007
3053,93.41513062,93.06253815,97.93743134,119.9629669,115.846611,4.776519775,1.010089993,124.3965836,124.7536087,100.0971603,90.63372803,37.51898956
3054,93.48679352,93.25019073,98.09841919,118.4399109,115.5334778,4.83382988,1.008470058,119.2928467,121.3099976,102.2693787,93.01107788,39.41331863
3055,93.66712952,93.48825836,98.23937988,115.2384033,115.3786621,4.466080189,1.009760022,115.6577301,119.5957031,103.552948,94.92404175,43.03231049
3056,,,,109.1177979,110.195549,4.370389938,,113.0435104,116.7949295,99.60598755,91.36876678,45.30730057
3057,,,,99.07472229,100.4837799,4.878550053,,114.7479172,117.725563,100.0441666,92.39228821,48.73310852
3058,94.48465729,93.86740112,98.54094696,98.60758209,99.849823,4.629459858,1.008749962,112.654007,116.3537674,98.73783112,91.38948822,51.41638184
3059,94.41581726,94.06317139,98.534729,99.43528748,100.6050568,4.470389843,1.007680058,113.405983,116.9787903,98.12564087,91.45410156,53.28213882
3060,94.89022064,94.40228271,98.66831207,101.1494675,102.2489395,4.477210045,1.007200003,114.5958328,117.800972,98.10569763,92.05164337,55.48424911
3061,,,,105.9745102,105.998558,4.535510063,,113.1108627,116.7746887,98.45749664,93.11688232,56.43402863
3062,95.31891632,94.85182953,98.85164642,106.3833237,107.1388626,4.449100018,1.004400015,112.7591171,116.2171631,100.0914536,95.03002167,55.32749176
3063,95.46903229,95.01589203,98.82675934,106.4235764,107.093132,4.506219864,1.006629944,112.0647125,115.852272,103.3546295,98.36582184,54.97652054
3064,95.87506104,95.38252258,99.01181793,,,,1.005699992,,,,,
3065,,,,95.08203888,93.49546051,2.872819901,,106.2415237,109.6046829,59.83853149,60.46035004,17.22629929
3066,88.78697968,95.15853882,96.65103912,93.03598022,92.10516357,,0.992219985,104.6002121,107.8715286,62.89228058,62.3982811,17.28017998
3067,,,,95.91323853,97.34883881,3.044250011,,107.2391663,111.2899323,70.7596283,70.32910919,17.7949295
3068,89.10138702,95.38318634,99.46011353,96.36197662,97.00982666,2.901900053,0.998440027,106.779213,108.8218002,69.37525177,69.92845154,20.66820908
3069,89.67711639,95.6470108,99.47373962,99.37239838,97.76071167,3.525130033,0.998459995,107.2996521,109.7416687,74.37735748,74.86978149,22.98912048
3070,,,,,,2.81227994,,110.952179,107.4381409,76.67198944,76.18920135,24.07625961
3071,90.0687027,95.59108734,98.77799988,,,3.189440012,0.999469995,111.1822815,107.2848892,79.31282043,78.92384338,26.30319977
3072,,,,104.6191025,101.6561279,3.407480001,,109.1101913,109.4275589,81.54258728,79.40921021,30.42900085
