MonthKey,CountryKey,EducationKey,QualityOfLifeKey,HealthKey,EventKey,PopulationKey,Quality of Life Index,Devlopment Index,Human Development Index
6001,5001,3001,2001,4001,,1001,,3,0.643
6002,5002,3002,2002,4002,,1002,,3,0.649
6003,5003,3003,2003,4003,7001,1003,,3,0.649
6004,5004,3004,2004,4004,,1004,,3,0.658
6005,5005,3005,2005,4005,,1005,,3,0.663
6006,5006,3006,2006,4006,,1006,,3,0.667
6007,5007,3007,2007,4007,,1007,,3,0.671
6008,5008,3008,2008,4008,,1008,,3,0.675
6009,5009,3009,2009,4009,,1009,,3,0.684
6010,5010,3010,2010,4010,,1010,,3,0.69
6011,5011,3011,2011,4011,,1011,6.55,3,0.697
6012,5012,3012,2012,4012,,1012,,3,0.702
6013,5013,3013,2013,4013,,1013,,3,0.71
6014,5014,3014,2014,4014,,1014,,3,0.714
6015,5015,3015,2015,4015,,1015,,3,0.718
6016,5016,3016,2016,4016,,1016,,3,
6001,5017,3017,2017,4017,,1017,,2,0.7
6002,5018,3018,2018,4018,,1018,,2,0.702
6003,5019,3019,2019,4019,,1019,,2,0.706
6004,5020,3020,2020,4020,,1020,,2,0.717
6005,5021,3021,2021,4021,7013,1021,,2,0.719
6006,5022,3022,2022,4022,,1022,,2,0.727
6007,5023,3023,2023,4023,,1023,,2,0.731
6008,5024,3024,2024,4024,,1024,10.81,2,0.735
6009,5025,3025,2025,4025,,1025,48.21,2,0.753
6010,5026,3026,2026,4026,,1026,38.76,2,0.756
6011,5027,3027,2027,4027,,1027,29.84,2,0.756
6012,5028,3028,2028,4028,,1028,101.02,2,0.758
6013,5029,3029,2029,4029,,1029,96.15,2,0.761
6014,5030,3030,2030,4030,7019,1030,100.13,2,0.762
6015,5031,3031,2031,4031,,1031,100.33,2,0.765
6016,5032,3032,2032,4032,,1032,105.65,2,
6001,5033,3033,2033,4033,,1033,,1,0.894
6002,5034,3034,2034,4034,,1034,,1,0.898
6003,5035,3035,2035,4035,,1035,,1,0.896
6004,5036,3036,2036,4036,,1036,,1,0.898
6005,5037,3037,2037,4037,,1037,,1,0.898
6006,5038,3038,2038,4038,,1038,,1,0.901
6007,5039,3039,2039,4039,,1039,,1,0.903
6008,5040,3040,2040,4040,,1040,164.99,1,0.906
6009,5041,3041,2041,4041,,1041,186.03,1,0.913
6010,5042,3042,2042,4042,,1042,178.29,1,0.918
6011,5043,3043,2043,4043,,1043,177.63,1,0.921
6012,5044,3044,2044,4044,,1044,177.23,1,0.923
6013,5045,3045,2045,4045,,1045,167.18,1,0.926
6014,5046,3046,2046,4046,,1046,173.9,1,0.928
6015,5047,3047,2047,4047,,1047,170.32,1,0.929
6016,5048,3048,2048,4048,,1048,163.47,1,
6001,5049,3049,2049,4049,,1049,,2,0.689
6002,5050,3050,2050,4050,,1050,,2,0.698
6003,5051,3051,2051,4051,,1051,,2,0.711
6004,5052,3052,2052,4052,,1052,,2,0.718
