HealthKey,Capital health expenditure (% of GDP),Current health expenditure per capita (current US$),Domestic general government health expenditure (% of current health expenditure),Domestic private health expenditure (% of current health expenditure),External health expenditure (% of current health expenditure),Out-of-pocket expenditure (% of current health expenditure),UHC service coverage index,"Immunization, BCG (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Hospital beds (per 1,000 people)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)",Number of infant deaths,"Stillbirth rate (per 1,000 total births)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Prevalence of undernourishment (% of population),Prevalence of overweight (% of adults)
4001,0.50050497,52.48216629,54.26985168,38.11709595,7.6130538,32.00019455,49,88,85,85,85,89,84,,,,10905,13.93523746,67.538,63.192,26.8,49.2
4002,0.55146682,56.81023026,56.02086639,38.23095703,5.74817896,32.26539612,,87,83,83,83,88,82,1.1,,,10318,13.56199267,68.137,63.68,24.6,49.9
4003,0.57667035,64.47034454,59.09320831,36.32851028,4.57828236,30.76193619,,87,84,84,84,86,85,1.1,0.6084,0.3316,9758,13.19551917,68.736,64.168,23.9,50.5
4004,0.49854699,79.01570129,58.65034485,35.4160347,5.93362188,30.36822891,,90,88,88,88,92,87,1.1,,,9226,12.77767929,69.334,64.656,24.7,51.2
4005,0.61395139,90.77088165,61.03662872,34.96269608,4.00067425,30.09937668,,93,93,93,93,93,92,1.1,,,8722,12.34585343,69.93,65.142,22.9,51.8
4006,0.43285498,101.7298813,58.76804733,37.64148712,3.59046984,33.27740097,57,98,91,91,91,88,90,,0.8326,0.4385,8249,11.9750287,70.518,65.619,20.3,52.4
4007,0.47406825,121.3785858,58.39107513,36.95423508,4.65468597,32.50546265,,99,95,95,95,96,95,1.07,0.9928,0.4671,7804,11.64363309,71.091,66.078,17.2,53.1
4008,0.52506632,137.1217804,57.03056335,38.54708862,4.42234516,34.3583374,,99,93,93,93,92,93,1.1,,,7379,11.23777629,71.643,66.509,16.5,53.7
4009,0.68399805,162.1219788,58.5225296,37.94885635,3.52861834,34.0091629,,94,87,87,87,87,88,1.12,0.6961,,6973,10.84701542,72.166,66.907,16.4,54.3
4010,0.79155195,181.7120514,62.62419128,34.70809174,2.66771841,30.90435791,,94,85,85,85,89,85,1.15,,,6602,10.48290629,72.655,67.271,15.5,54.9
4011,0.97720146,198.8755798,65.74084473,31.18536377,3.0737884,27.32661629,65,99,89,89,89,95,88,1.13,1.1914,,6270,10.07493117,73.105,67.6,14.3,55.5
4012,0.96726048,210.2380981,64.82120514,31.94018936,3.23860908,28.02112198,,96,87,87,87,94,87,1.27,1.1179,1.5901,5984,9.748156394,73.512,67.898,13.1,56.1
4013,0.59475273,217.4946899,68.52770233,29.16842079,2.30387139,25.07784653,65,93,84,84,84,83,83,1.29,1.5589,1.0299,5720,9.461964921,73.878,68.173,12.5,
4014,0.77348596,235.700882,72.80451965,25.5754528,1.62002647,21.9814682,,90,83,83,83,89,83,,,,5492,9.163825694,74.209,68.434,12.6,
4015,0.81315786,245.9234772,71.23578644,27.63630486,1.12790906,23.86875534,67,80,75,75,75,79,75,,,,5286,8.899205042,74.508,68.684,12.6,
4016,,,,,,,,,,,,,,,,,5105,,,,,
4017,0.70506501,384.9320068,41.6314621,58.30109787,0.06743982,35.87644196,72,99,99,98,96,98,99,2.52,,1.6663,71001,8.937727898,75.775,68.166,6.5,49.5
4018,0.74211955,485.5993347,42.92739487,56.96648407,0.10612673,34.37126541,,99,99,99,97,99,99,2.48,,1.7007,65431,8.787802963,76.122,68.536,6.2,50.2
4019,0.78216791,602.6859131,42.48596573,57.43232346,0.08170772,33.09412003,,99,99,99,98,99,99,2.47,,1.7306,60568,8.669976018,76.457,68.905,5.6,50.8
4020,0.84121162,707.4912109,43.74353027,56.20293045,0.05353872,30.88409233,,99,99,96,99,99,99,2.44,,1.7802,56392,8.585176808,76.779,69.266,5.1,51.5
4021,0.82504267,721.7680054,44.16326523,55.68764877,0.1490849,31.21032143,,99,99,99,99,99,99,2.43,,1.8171,52929,8.540164665,77.085,69.616,4.4,52.1
4022,0.30873552,896.6971436,45.02125549,54.73280716,0.24594209,29.38520622,74,99,99,96,99,99,99,2.37,,1.8139,50020,8.468206704,77.378,69.95,3.9,52.7
4023,0.26323125,1031.576172,44.49915695,55.16176224,0.33908311,29.29958344,,99,99,98,99,99,98,2.31,,1.8491,47673,8.420146233,77.658,70.265,3.4,53.4
4024,0.30566427,957.0070801,43.36180878,56.51361847,0.12457068,29.68203163,,99,95,96,95,99,96,2.27,,,45811,8.382283664,77.929,70.56,3.1,54
4025,0.28242823,981.152832,44.51945877,55.41260147,0.06794303,28.1770668,,99,97,96,98,98,96,2.25,7.5635,1.882,44313,8.329887263,78.193,70.838,2.8,54.6
4026,0.37300894,1017.047119,44.05274582,55.80924606,0.13800362,28.18024826,,99,93,96,95,97,96,2.22,8.788,,43119,8.285266107,78.45,71.099,2.6,55.3
4027,0.28954098,785.2648315,43.25646591,56.66340637,0.08012585,24.70735931,75,99,96,96,96,96,98,2.15,9.1081,,42104,8.170962987,78.698,71.345,2.5,55.9
4028,0.31721705,798.6270752,43.06282806,56.86286545,0.07430518,24.42057228,,90,89,89,89,95,72,2.11,9.351,,44108,8.225145855,78.934,71.578,2.5,56.5
4029,0.25351468,940.369751,41.73838043,58.19538116,0.06623612,24.46793556,75,91,89,93,93,91,75,2.09,9.737,2.1652,40403,7.791489145,79.156,71.804,2.5,
4030,0.33637449,866.1553955,41.09182358,58.82275772,0.08541891,24.82529449,,92,87,93,83,92,85,,10.119,,39558,7.614202169,79.362,72.024,2.5,
4031,0.29178557,853.3879395,40.74078369,59.11333466,0.14588499,24.87984657,75,79,73,80,80,91,85,,7.4008,2.3106,38646,7.476931622,79.555,72.243,2.5,
4032,,,,,,,,,,,,,,,,,37657,,,,,
4033,0.4640432,3296.501465,73.03554535,26.96445656,0,15.36829281,81,,93,14,93,94,93,3.1,9.9467,,1800,2.971604709,82.6,77.9,2.5,58.6
4034,0.48383656,3788.090088,69.435112,30.56488609,0,15.87159061,,,95,14,95,93,95,3.02,10.0236,1.9086,1825,3.037840866,82.7,78.1,2.5,59.2
4035,0.61307919,4212.990723,69.58927917,30.4107151,0,15.59513855,,,94,14,93,94,99,2.96,10.1208,,1845,3.099828202,82.9,78.3,2.5,59.7
4036,0.47915494,4474.974609,69.75228882,30.24771118,0,15.48501587,,,92,28,92,93,96,2.85,10.289,1.959,1860,3.06817921,83,78.5,2.5,60.2
4037,0.54793304,4371.552734,70.17884064,29.82116127,0,15.15418148,,,91,42,91,91,93,2.8,10.3743,,1869,2.992871117,83.3,78.8,2.5,60.7
4038,0.58610934,5065.915039,69.90503693,30.09496307,0,15.48852921,84,,89,56,90,90,90,2.78,9.3233,2.0384,1871,2.92952011,83.5,79.1,2.5,61.2
4039,0.55770832,5400.11377,70.21539307,29.78460693,0,15.06602478,,,87,70,89,88,87,2.8,9.2368,,1866,2.915602009,83.6,79.4,2.5,61.7
4040,0.55659932,5500.684082,70.44465637,29.55534744,0,14.87091827,,,91,70,90,89,91,2.79,9.3473,2.3962,1855,2.886789648,83.8,79.6,2.5,62.2
4041,0.48322916,5443.625,70.7170639,29.28293419,0,14.4959259,,,91,55,91,90,91,2.72,9.4788,2.4509,1839,2.87091403,83.9,79.7,2.5,62.7
