PopulationKey,"Population, male","Population, female","Population, total",Urban population (% of total population),Urban population growth (annual %),Rural population growth (annual %),Rural population (% of total population),Population growth (annual %),"Population ages 15-64, total","Population ages 65 and above, total","Population ages 00-14, total",Net migration
1001,4647523,4584778,9232301,64.17,2.50200471,0.511230242,35.83,1.784145707,5360658,517863,3353780,
1002,4729693,4665756,9395449,64.628,2.462901214,0.465219452,35.372,1.751710988,5476373,535262,3383814,
1003,4811456,4746982,9558438,65.082,2.41991863,0.428076252,34.918,1.719890149,5595861,553758,3408819,-67700
1004,4892972,4828485,9721457,65.535,2.384748067,0.385310837,34.465,1.691117977,5718343,573262,3429852,
1005,4974475,4910315,9884790,65.984,2.348964623,0.354839034,34.016,1.666170773,5842682,593596,3448512,
1006,5056110,4992487,10048597,66.43,2.317226039,0.323766518,33.57,1.643581068,5968195,614689,3465712,
1007,5137926,5075025,10212951,66.874,2.288510794,0.290921955,33.126,1.622359801,6095370,637569,3480012,
1008,5219814,5157863,10377677,67.315,2.257321803,0.259834486,32.685,1.600043615,6222545,660866,3494266,-57620
1009,5301540,5240835,10542375,67.699,2.143408299,0.392777747,32.301,1.574579287,6350486,684685,3507204,
1010,5382819,5323698,10706517,68.047,2.057712079,0.46174126,31.953,1.544977169,6480521,709149,3516847,
1011,5463444,5406288,10869732,68.393,2.020123589,0.424202021,31.607,1.512942433,6613026,734374,3522332,
1012,5543317,5488505,11031822,68.738,1.983365485,0.382664719,31.262,1.480195967,6742201,761265,3528357,
1013,5622487,5570366,11192853,69.08,1.945451511,0.349137888,30.92,1.449144413,6874595,788635,3529623,-47520
1014,5701161,5651979,11353140,69.425,1.92006124,0.299853674,30.575,1.421890804,7008805,816512,3527823,
1015,5779611,5733491,11513102,69.773,1.899151479,0.254399034,30.227,1.399133355,7142280,844904,3525918,
1016,5858019,5815010,11673029,70.123,1.879894545,0.214879892,29.877,1.379527583,7273446,873984,3525599,
1017,92002092,94125016,186127108,82.834,1.524464571,-0.661062615,17.166,1.145884772,124021700,11177826,50927581,
1018,92970772,95196581,188167353,83.143,1.462533321,-0.726273592,16.857,1.090192573,126082500,11600894,50483959,
1019,93900509,96229936,190130445,83.448,1.404031688,-0.788043128,16.552,1.037864683,128068765,12011084,50050596,0
1020,94798466,97231896,192030362,83.749,1.354365187,-0.840938535,16.251,0.994310572,130000191,12425104,49605067,
1021,95674549,98211956,193886505,84.044,1.313570564,-0.870003155,15.956,0.961946715,131902950,12866239,49117316,
1022,96536269,99177368,195713637,84.335,1.283608759,-0.902643275,15.665,0.937959307,133781681,13349254,48582701,
1023,97385186,100129355,197514541,84.631,1.266331624,-0.991676491,15.369,0.915965178,135602166,13887044,48025330,
1024,98220331,101066961,199287292,84.923,1.237959014,-1.024684164,15.077,0.893525507,137364151,14453960,47469180,15924
1025,99043431,101992473,201035904,85.209,1.209815279,-1.041544388,14.791,0.873605696,139067238,15055724,46912941,
1026,99855752,102907992,202763744,85.492,1.187370434,-1.076072071,14.508,0.855795964,140699018,15697744,46366981,
1027,100657516,103814243,204471759,85.77,1.163488208,-1.095943099,14.23,0.838838953,142243098,16384411,45844250,
1028,101450192,104712864,206163056,86.042,1.140377592,-1.106207186,13.958,0.823752153,143590073,17115012,45457971,
1029,102232088,105601737,207833825,86.309,1.116978123,-1.124267242,13.691,0.807145245,144882354,17885123,45066347,106000
1030,102996239,106473081,209469320,86.569,1.084634853,-1.133478593,13.431,0.78384426,146090377,18690608,44688335,
1031,103733160,107316359,211049519,86.824,1.045680166,-1.165293997,13.176,0.751550842,147184242,19525474,44339802,
1032,104435783,108123626,212559409,87.073,0.999249503,-1.195012398,12.927,0.712872791,148150775,20389282,44019351,
1033,15984826,16258927,32243753,80.122,1.040618588,0.557844254,19.878,0.944466927,22314773,4229591,5699388,
1034,16150387,16420787,32571174,80.213,1.123846755,0.551491249,19.787,1.010334503,22581706,4321765,5667703,
1035,16311491,16577534,32889025,80.396,1.199018842,0.041978149,19.604,0.971135141,22834087,4419182,5635757,1326431
1036,16492292,16754826,33247118,80.578,1.309029905,0.150191984,19.422,1.082907116,23098879,4532226,5616013,
1037,16683829,16945066,33628895,80.758,1.364893948,0.210657043,19.242,1.141758099,23357170,4663632,5608093,
1038,16871021,17133868,34004889,80.937,1.333268714,0.177253215,19.063,1.111864075,23585034,4812933,5606922,
1039,17035831,17303497,34339328,81.096,1.174952642,0.141129968,18.904,0.978697787,23739986,4962451,5636891,
1040,17219264,17494958,34714222,81.137,1.136362333,0.868694356,18.863,1.085817263,23917884,5139058,5657280,1241416
1041,17399107,17683847,35082954,81.178,1.107109995,0.838999351,18.822,1.056591259,24077745,5333257,5671952,
1042,17572607,17864828,35437435,81.218,1.05460142,0.792587518,18.782,1.005337579,24209116,5536520,5691799,
1043,17703599,17999309,35702908,81.259,0.796807975,0.527807559,18.741,0.746339478,24261870,5731614,5709424,
1044,17906490,18202997,36109487,81.3,1.182792155,0.913336126,18.7,1.132348655,24426969,5941820,5740699,
1045,18125530,18419765,36545295,81.35,1.261162007,0.931952478,18.65,1.199682154,24590405,6155138,5799752,1210159
1046,18387468,18677710,37065178,81.411,1.487505987,1.084928031,18.589,1.412548033,24795767,6387074,5882337,
1047,18654019,18939365,37593384,81.482,1.502188206,1.032338383,18.518,1.4150147,25001932,6634442,5957010,
