QualityOfLifeKey,"Unemployment, male (% of male labor force)","Unemployment, female (% of female labor force)","People using at least basic drinking water services, rural (% of rural population)","People using at least basic drinking water services, urban (% of urban population)","People using at least basic sanitation services, rural (% of rural population)","People using at least basic sanitation services, urban  (% of urban population)","People using safely managed drinking water services, rural (% of rural population)","People using safely managed drinking water services, urban (% of urban population)","People using safely managed sanitation services, rural (% of rural population)","People using safely managed sanitation services, urban  (% of urban population)","People practicing open defecation, rural (% of rural population)","People practicing open defecation, urban (% of urban population)",Maternal leave benefits (% of wages paid in covered period),Pregnant women receiving prenatal care (%)
2001,2.11500001,3.102999926,61.27671627,96.31821847,19.73548018,52.04992026,,,,41.5668734,55.25750064,11.179908,,
2002,2.085000038,3.207999945,62.51743641,96.50536226,20.87901401,52.91213855,,,,42.25546035,53.75538424,10.43608621,,
2003,2.101999998,3.371000051,63.75940683,96.69251362,22.3267909,54.36738983,,,,43.41764174,52.25326784,9.692264425,,
2004,2.000999928,3.385999918,65.00262753,96.87967255,23.80616379,55.84165849,,,,44.59501085,50.75115143,8.948442638,,85.8
2005,2.467999935,3.621999979,66.2470985,97.06683906,25.31713268,57.33494455,,,,45.78756766,49.24903503,8.204620851,100,
2006,2.200999975,3.157000065,67.49281976,97.25401313,26.85969757,58.84724799,,,,46.99531219,47.74691862,7.460799064,,
2007,1.922000051,2.683000088,68.73979129,97.44119478,28.43385846,60.37856882,,,,48.21824444,46.24480222,6.716977276,100,
2008,1.514000058,2.835000038,69.9880131,97.628384,30.03961535,61.92890703,,,,49.4563644,44.74268581,5.973155489,,90.1
2009,2.002000093,3.032999992,71.23748519,97.81558079,31.67696825,63.49826263,,,,50.70967207,43.24056941,5.229333702,100,
2010,1.373000026,2.878000021,72.48820756,98.00278515,33.34591715,65.08663562,,,,51.97816746,41.73845301,4.485511915,,
2011,2.630000114,3.805000067,73.7401802,98.18999708,35.04646205,66.694026,,,,53.26185056,40.2363366,3.741690127,100,
2012,3.099999905,4.043000221,74.99340312,98.37721658,36.77860295,68.32043377,,,,54.56072137,38.7342202,2.99786834,,95.6
2013,3.342999935,4.052999973,76.24787633,98.56444366,38.54233985,69.96585892,,,,55.8747799,37.23210379,2.254046553,100,
2014,3.444000006,3.61500001,77.50359981,98.75167831,40.33767275,71.63030146,,,,57.20402614,35.72998739,1.510224766,,
2015,3.382999897,4.395999908,78.72012132,98.93689831,42.16460166,73.31376139,,,,58.5484601,34.22787099,0.766402978,,
2016,6.459000111,9.840000153,79.93664283,99.12211832,44.02312657,75.0162387,,,,59.90808177,32.72575458,0.022581191,,
2017,7.375999928,12.53899956,78.45831333,98.52956754,43.08705112,84.70974279,52.91903353,83.04527727,,40.59952875,26.47224604,2.171160162,,97.4
2018,6.613999844,11.375,79.48808481,98.60707388,44.40308328,85.33235602,53.61359998,83.11060321,,40.91423692,24.86427353,2.009523676,,97.8
2019,6.25,11.13099957,80.5178563,98.68458023,45.71978557,85.95584931,54.30816642,83.17592914,,41.22939271,23.25630101,1.847887189,,96.7
2020,5.414999962,9.944000244,81.54762778,98.76208658,47.03715798,86.58022266,55.00273287,83.24125508,,41.54499613,21.64832849,1.686250702,,
2021,6.402999878,11.35599995,82.57739927,98.83959293,48.35520052,87.20547607,55.69729931,83.30658101,,41.86104718,20.04035597,1.524614216,100,98.2
2022,5.387000084,9.833999634,83.60717075,98.91709928,49.6739132,87.83160955,56.39186576,83.37190695,,42.17754585,18.43238345,1.362977729,,
2023,5.09100008,9.437000275,84.63694224,98.99460563,50.993296,88.45862309,57.0864322,83.43723289,,42.49449214,16.82441093,1.201341243,100,
2024,5.820000172,9.067000389,85.66671372,99.07211198,52.31334893,89.08651669,57.78099864,83.50255882,,43.36075687,15.21643841,1.039704756,,
2025,5.670000076,8.776000023,86.69648521,99.14961832,53.63407199,89.71529035,59.45096467,84.05021722,,44.24426671,13.60846589,0.87806827,100,
2026,5.593999863,8.114999771,87.72625669,99.22712467,54.95546517,90.34494407,61.14410207,84.5986297,,45.14505931,12.00049338,0.716431783,,
2027,7.217999935,10.06000042,88.75602818,99.30463102,56.27752849,90.97547786,62.86041085,85.14779627,,46.06317235,10.39252086,0.554795296,100,97.2
2028,10.20699978,13.4659996,89.16366243,99.38213737,57.60026193,91.60689171,64.15227015,85.69771693,,46.99864347,8.784548339,0.39315881,,
2029,11.36900043,14.71800041,90.81557114,99.66213725,58.92366551,92.23918562,66.36254256,86.24839168,,47.95151032,7.17657582,0.231522323,100,
2030,10.86800003,14.22700024,91.84534263,99.73980139,60.24773921,92.87235959,68.14836549,86.79982052,,48.92181056,5.568603302,0.069885837,,
2031,10.20600033,14.13899994,93.12409622,99.81746554,61.57248304,93.50641363,69.9573598,87.35200345,,49.90958186,3.960630783,0,,
2032,11.93099976,16.04199982,95.94525953,99.82200131,62.897897,94.1137462,71.78952549,87.84058953,,50.6743835,2.352658264,0,,
2033,7.017000198,6.46600008,98.20544302,99.48998183,99.3057628,99.92909847,,,78.66348538,78.94090697,0,0,,
2034,6.521999836,6.092000008,98.26651823,99.47343153,99.27332025,99.86800895,,,79.05348712,79.33673547,0,0,,
2035,6.383999825,5.652999878,98.32759343,99.45688123,99.24087771,99.80691943,,,79.44262314,79.73187612,0,0,,100
2036,6.572000027,5.65199995,98.38866864,99.44033093,99.20843516,99.74582992,,,79.83089051,80.12633012,0,0,,
2037,9.532999992,7.005000114,98.44974385,99.42378064,99.17599261,99.6847404,,,80.2182863,80.52009865,0,0,40,
2038,8.793999672,7.243000031,98.51081905,99.40723034,99.14355006,99.62365088,,,80.60480756,80.91318292,0,0,,
2039,7.959000111,7.008999825,98.57189426,99.39068004,99.11110751,99.56256136,,,80.99045138,81.30558411,0,0,35,
2040,7.71600008,6.816999912,98.63296946,99.37412975,99.07866496,99.50147184,,,81.3752148,81.69730343,0,0,,
2041,7.497000217,6.597000122,98.69404467,99.35757945,99.04622241,99.44038232,,,81.7590949,82.08834207,0,0,37,
2042,7.377999783,6.388999939,98.75511987,99.34102915,99.01377986,99.3792928,,,82.14208876,82.47870121,0,0,,
2043,7.461999893,6.291999817,98.81619508,99.32447885,98.98133731,99.31820329,,,82.52419342,82.86838207,0,0,55,
2044,7.681000233,6.241000175,98.87727028,99.30792856,98.94889476,99.25711377,,,82.90540597,83.25738583,0,0,,
2045,6.781000137,5.850999832,98.93834549,99.29137826,98.91645221,99.19602425,,,83.28572346,83.64571368,0,0,55,
2046,6.138999939,5.488999844,98.99942069,99.27482796,98.88400966,99.13493473,,,83.69421783,84.03748473,0,0,,
2047,6.03000021,5.25,99.0604959,99.25827766,98.85156711,99.07384521,,,84.10229814,84.42854698,0,0,,
2048,9.526000023,9.38599968,99.0604959,99.25827766,98.85156711,99.07384521,,,84.10229814,84.42854698,0,0,,
2049,8.730999947,14.44400024,76.32196586,98.56824032,64.58168744,84.32647123,35.3298395,81.63156671,,14.82136059,23.45143406,1.615027728,,93.5
